Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,562672324,7218.800572,6386504,81.93560756,995354,6367793,81.69555492,11387,0.146089435,1745
United States of America,Americas,88544725,26750.458,848374,256.304,133265,1014343,306.446,2424,0.732,383
India,South-East Asia,43803619,3174.165,133769,9.693,20557,525825,38.103,306,0.022,40
Brazil,Americas,33339815,15684.939,399308,187.857,38697,675518,317.802,1760,0.828,168
France,Europe,32210617,49524.807,608866,936.15,134457,147567,226.889,680,1.046,144
Germany,Europe,29994679,36065.727,615719,740.343,99532,142771,171.668,96,0.115,5
The United Kingdom,Europe,23075360,33991.336,15859,23.361,0,181580,267.478,0,0,0
Italy,Europe,20299013,34035.055,631693,1059.15,121103,170213,285.394,823,1.38,176
Republic of Korea,Western Pacific,18937971,36938.311,335889,655.148,76402,24777,48.327,97,0.189,12
Russian Federation,Europe,18504729,12680.164,32490,22.263,5685,381997,261.759,286,0.196,37
Türkiye,Europe,15297539,18138.141,0,,0,99088,117.488,0,,0
Spain,Europe,13132159,27744.42,99318,209.83,41683,109642,231.642,686,1.449,294
Viet Nam,Western Pacific,10762532,11056.8,6278,6.45,1907,43091,44.269,2,0.002,0
Japan,Western Pacific,10469440,8277.777,658566,520.702,81362,31643,25.019,178,0.141,33
Argentina,Americas,9465827,20944.053,39656,87.743,0,129202,285.872,57,0.126,0
Australia,Western Pacific,8850343,34707.385,298377,1170.111,50248,10794,42.33,409,1.604,75
Netherlands,Europe,8292279,47636.01,38470,220.996,5018,22439,128.904,30,0.172,6
Iran (Islamic Republic of),Eastern Mediterranean,7289542,8678.755,34525,41.105,5377,141532,168.505,81,0.096,19
Mexico,Americas,6454263,5005.914,95089,73.751,5786,326523,253.251,190,0.147,19
Colombia,Americas,6223497,12231.021,24649,48.443,0,140365,275.859,163,0.32,0
Indonesia,South-East Asia,6149084,2248.1,28915,10.571,5653,156875,57.353,57,0.021,10
Poland,Europe,6038893,15909.35,12759,33.613,2851,116486,306.88,22,0.058,11
China,Western Pacific,5337774,362.796,189378,12.872,28743,22936,1.559,507,0.034,41
Portugal,Europe,5294315,51421.54,28702,278.771,0,24474,237.706,94,0.913,0
Ukraine,Europe,5020181,11478.961,0,,0,108690,248.527,0,,0
Austria,Europe,4675532,52527.788,84283,946.887,11862,20198,226.917,35,0.393,5
Malaysia,Western Pacific,4629963,14305.021,29227,90.302,3902,35870,110.826,51,0.158,8
Thailand,South-East Asia,4565854,6541.34,14930,21.39,2886,31050,44.484,143,0.205,19
Israel,Europe,4528603,52320.277,51824,598.738,6976,11208,129.489,42,0.485,0
Belgium,Europe,4368611,37913.94,25656,222.661,0,32089,278.491,49,0.425,0
Greece,Europe,4210771,39284.839,148435,1384.84,0,30707,286.484,200,1.866,0
Chile,Americas,4145452,21685.543,50356,263.421,3674,59140,309.371,262,1.371,14
South Africa,Africa,4000631,6745.438,1768,2.981,0,101922,171.85,15,0.025,0
Canada,Americas,3978338,10540.835,24871,65.897,0,42148,111.674,162,0.429,0
Czechia,Europe,3958805,37019.147,12957,121.162,3240,40365,377.457,20,0.187,2
Switzerland,Europe,3893100,44982.921,36502,421.763,16,13385,154.657,15,0.173,0
Peru,Americas,3761445,11408.048,78232,237.269,11810,213840,648.553,145,0.44,15
Philippines,Western Pacific,3737222,3410.463,15812,14.429,1841,60641,55.339,1,0.001,0
Denmark,Europe,3212192,55166.113,15398,264.445,2885,6567,112.782,37,0.635,4
Romania,Europe,2974880,15390.889,28706,148.514,7658,65824,340.548,27,0.14,9
Sweden,Europe,2528166,24479.731,2032,19.675,0,19203,185.939,1,0.01,0
Iraq,Eastern Mediterranean,2413472,6000.304,22788,56.655,3831,25274,62.835,17,0.042,1
Serbia,Europe,2063894,29796.187,18793,271.312,3912,16178,233.56,23,0.332,5
Bangladesh,South-East Asia,1998291,1213.37,6233,3.785,0,29249,17.76,32,0.019,0
Hungary,Europe,1951079,19971.071,10255,104.969,10255,46736,478.386,40,0.409,40
Slovakia,Europe,1808387,33133.549,5521,101.157,1159,20183,369.796,17,0.311,7
Jordan,Eastern Mediterranean,1705116,16711.689,2455,24.061,0,14070,137.899,1,0.01,0
Georgia,Europe,1667453,41799.445,0,,0,16847,422.318,0,,0
Ireland,Europe,1628745,32808.232,1207,24.313,0,7571,152.505,5,0.101,0
Singapore,Western Pacific,1616067,27623.462,75289,1286.916,13794,1460,24.956,23,0.393,3
Pakistan,Eastern Mediterranean,1547203,700.433,3698,1.674,459,30445,13.783,21,0.01,0
New Zealand,Western Pacific,1519314,31506.441,66793,1385.105,10716,1837,38.094,163,3.38,34
Norway,Europe,1453067,27071.175,1601,29.827,144,3596,66.995,92,1.714,0
Kazakhstan,Europe,1410812,7513.628,10324,54.983,1976,19020,101.296,1,0.005,0
Morocco,Eastern Mediterranean,1253341,3395.616,10513,28.482,1575,16193,43.871,33,0.089,4
Bulgaria,Europe,1189000,17104.266,8364,120.32,1862,37307,536.677,28,0.403,6
Lithuania,Europe,1172186,41952.335,5219,186.787,1111,9194,329.052,7,0.251,2
Finland,Europe,1171032,21194.029,1383,25.03,0,5012,90.71,0,0,0
Croatia,Europe,1169342,28814.55,9089,223.968,1151,16169,398.431,45,1.109,11
Lebanon,Eastern Mediterranean,1144149,16762.995,17738,259.88,1505,10494,153.748,15,0.22,3
Tunisia,Eastern Mediterranean,1114370,9428.936,27340,231.33,0,28942,244.885,119,1.007,0
Cuba,Americas,1106930,9772.822,440,3.885,51,8529,75.301,0,0,0
Slovenia,Europe,1063653,50750.169,11020,525.798,2787,7864,375.216,6,0.286,0
Belarus,Europe,994037,10519.666,0,,0,7118,75.328,0,,0
Guatemala,Americas,985245,5499.379,36496,203.711,768,18839,105.154,114,0.636,17
Nepal,South-East Asia,982402,3371.687,1635,5.611,340,11954,41.027,2,0.007,0
United Arab Emirates,Eastern Mediterranean,976180,9869.973,10105,102.17,1378,2327,23.528,3,0.03,2
Bolivia (Plurinational State of),Americas,974005,8344.07,25350,217.167,4353,21989,188.375,19,0.163,7
Uruguay,Americas,967808,27860.772,2438,70.184,0,7387,212.653,14,0.403,0
Costa Rica,Americas,960340,18851.939,0,,0,8525,167.35,0,,0
Panama,Americas,942083,21833.925,9973,231.136,0,8395,194.564,11,0.255,0
Ecuador,Americas,935821,5304.189,13655,77.396,610,35774,202.765,19,0.108,0
Mongolia,Western Pacific,933241,28467.311,2899,88.43,1183,2119,64.637,0,0,0
Latvia,Europe,847709,44436.762,5582,292.607,1179,5878,308.124,7,0.367,3
Puerto Rico,Americas,820175,28668.897,16297,569.655,518,4691,163.972,47,1.643,7
Saudi Arabia,Eastern Mediterranean,805277,2313.092,4408,12.662,707,9233,26.521,10,0.029,0
Azerbaijan,Europe,794913,7840.017,1086,10.711,257,9727,95.935,8,0.079,4
Paraguay,Americas,688820,9657.432,14991,210.178,0,19083,267.549,47,0.659,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,672039,13173.583,9451,185.262,0,5664,111.028,2,0.039,0
Sri Lanka,South-East Asia,664572,3103.555,227,1.06,0,16533,77.209,7,0.033,2
Bahrain,Eastern Mediterranean,651513,38288.821,10857,638.056,889,1506,88.506,6,0.353,0
Kuwait,Eastern Mediterranean,648216,15178.673,0,,0,2556,59.851,0,,0
Dominican Republic,Americas,622432,5737.806,2931,27.019,0,4383,40.404,0,0,0
Myanmar,South-East Asia,613871,1128.236,98,0.18,16,19434,35.718,0,0,0
Estonia,Europe,584373,43971.674,1357,102.109,0,2612,196.542,4,0.301,0
Cyprus,Europe,545896,61474.429,15386,1732.648,0,1086,122.297,7,0.788,0
Venezuela (Bolivarian Republic of),Americas,530649,1866.121,2220,7.807,247,5748,20.214,7,0.025,0
Republic of Moldova,Europe,526394,13049.054,3360,83.293,0,11592,287.36,8,0.198,0
Egypt,Eastern Mediterranean,514413,502.678,231,0.226,0,24750,24.185,25,0.024,0
Libya,Eastern Mediterranean,502642,7315.102,353,5.137,0,6431,93.592,1,0.015,0
Ethiopia,Africa,491172,427.241,615,0.535,0,7562,6.578,10,0.009,0
Honduras,Americas,432139,4363.01,1467,14.811,0,10919,110.242,7,0.071,0
Réunion,Africa,429237,47942.728,3599,401.983,0,825,92.147,6,0.67,0
Armenia,Europe,424400,14322.19,629,21.227,0,8626,291.101,0,0,0
Qatar,Eastern Mediterranean,397446,13795.164,7391,256.538,1102,680,23.602,0,0,0
Oman,Eastern Mediterranean,393002,7695.923,1361,26.652,0,4628,90.627,0,0,0
Bosnia and Herzegovina,Europe,381543,11629.519,1561,47.58,393,15824,482.319,14,0.427,5
Kenya,Africa,336798,626.353,745,1.385,0,5668,10.541,0,0,0
Zambia,Africa,327994,1784.132,892,4.852,0,4009,21.807,1,0.005,0
Botswana,Africa,323327,13749.077,0,,0,2752,117.025,0,,0
North Macedonia,Europe,319806,15350.344,3077,147.693,770,9343,448.454,4,0.192,2
Albania,Europe,290954,10110.293,1563,54.312,0,3517,122.211,1,0.035,0
Luxembourg,Europe,277888,44383.397,4487,716.65,538,1107,176.807,6,0.958,0
Algeria,Africa,266487,607.71,184,0.42,0,6875,15.678,0,0,0
Nigeria,Africa,259007,125.646,133,0.065,0,3144,1.525,0,0,0
Zimbabwe,Africa,256158,1723.47,177,1.191,0,5568,37.462,3,0.02,0
Montenegro,Europe,248529,39570.775,4195,667.928,883,2732,434.989,3,0.478,2
Uzbekistan,Europe,242437,724.359,555,1.658,71,1637,4.891,0,0,0
Kosovo[1],Europe,238230,13266.944,6246,347.838,842,3141,174.921,6,0.334,1
Mauritius,Africa,236651,18608.032,0,,0,1008,79.26,0,,0
Mozambique,Africa,229077,732.919,308,0.985,0,2215,7.087,1,0.003,0
Lao People's Democratic Republic,Western Pacific,210592,2894.513,206,2.831,46,757,10.405,0,0,0
Martinique,Americas,208003,55428.297,2742,730.684,0,986,262.748,5,1.332,0
Kyrgyzstan,Europe,201704,3091.632,422,6.468,0,2991,45.845,0,0,0
Iceland,Europe,200397,55033.861,1722,472.903,258,179,49.158,0,0,0
Brunei Darussalam,Western Pacific,191774,43836.161,12015,2746.418,1871,181,41.373,7,1.6,0
Afghanistan,Eastern Mediterranean,183908,472.427,636,1.634,221,7736,19.872,8,0.021,3
Maldives,South-East Asia,183908,34022.762,417,77.145,0,307,56.795,0,0,0
El Salvador,Americas,180970,2790.075,0,,0,4177,64.398,13,0.2,0
Guadeloupe,Americas,179285,44807.36,3937,983.945,0,960,239.926,2,0.5,0
Trinidad and Tobago,Americas,169227,12092.065,905,64.667,47,4039,288.606,11,0.786,1
Uganda,Africa,167815,366.881,232,0.507,0,3626,7.927,0,0,0
Ghana,Africa,167215,538.137,0,,0,1456,4.686,0,,0
Namibia,Africa,166388,6548.375,49,1.928,0,4069,160.14,1,0.039,0
Jamaica,Americas,144932,4894.422,794,26.814,51,3173,107.154,15,0.507,12
Cambodia,Western Pacific,136499,816.432,125,0.748,22,3056,18.279,0,0,0
Rwanda,Africa,131944,1018.698,172,1.328,0,1466,11.319,4,0.031,0
Cameroon,Africa,120068,452.304,0,,0,1931,7.274,0,,0
Malta,Europe,111410,21651.34,1917,372.548,261,777,151.002,14,2.721,4
Angola,Africa,102209,310.984,117,0.356,0,1912,5.818,1,0.003,0
Democratic Republic of the Congo,Africa,91928,102.642,0,,0,1390,1.552,0,,0
French Guiana,Americas,89779,30058.39,0,,0,402,134.591,0,,0
